timestamp,car_position_x,car_position_y,angle,speed,sensor_distances,traffic_light_state,action_taken,reward,ai_mode
green,0.0800341515790969,0.3645870651812234,-140.84783227258305,0.24999999999999878,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-213.0,hybrid
green,0.0798597305073517,0.3619161700323884,-146.84783227258305,0.1999999999999988,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-212.6,hybrid
green,0.07971143089690697,0.3593020812184347,-152.84783227258305,0.1499999999999988,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-212.2,hybrid
green,0.07959485272546125,0.3567344225724954,-158.84783227258305,0.0999999999999988,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-211.79999999999998,hybrid
green,0.07951441647198393,0.3542017496397421,-164.84783227258305,0.049999999999998795,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-211.39999999999998,hybrid
green,0.07947328024720127,0.3516918085747128,-170.84783227258308,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-211.0,hybrid
green,0.07947328024720127,0.3491918085747128,-176.84783227258305,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-211.0,hybrid
green,0.07947328024720127,0.3466918085747128,177.15216772741698,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_right"": true}",-211.0,hybrid
green,0.07947328024720127,0.3441918085747128,-176.84783227258305,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-211.0,hybrid
green,0.07947328024720127,0.3416918085747128,177.15216772741698,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_right"": true}",-211.0,hybrid
green,0.07947328024720127,0.3391918085747128,-176.84783227258305,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-211.0,hybrid
